species,nodulation
Abarema_abbottii,Yes
Abarema_acreana,Yes
Abarema_adenophora,Yes
Abarema_alexandri,Yes
Abarema_asplenifolia,Yes
Abarema_auriculata,Yes
Abarema_barbouriana,Yes
Abarema_brachystachya,Yes
Abarema_callejasii,Yes
Abarema_campestris,Yes
Abarema_cochleata,Yes
Abarema_cochliocarpos,Yes
Abarema_commutata,Yes
Abarema_curvicarpa,Yes
Abarema_floribunda,Yes
Abarema_ganymedea,Yes
Abarema_glauca,Yes
Abarema_idiopoda,Yes
Abarema_jupunba,Yes
Abarema_langsdorffii,Yes
Abarema_lehmannii,Yes
Abarema_leucophylla,Yes
Abarema_levelii,Yes
Abarema_longipedunculata,Yes
Abarema_macradenia,Yes
Abarema_obovalis,Yes
Abarema_oppositifolia,Yes
Abarema_oxyphyllidia,Yes
Abarema_turbinata,Yes
Abarema_villifera,Yes
Abarema_zollerana,Yes
Acacia_abyssinica,Yes
Acacia_acanthoclada,Yes
Acacia_acatlensis,Yes
Acacia_acinacea,Yes
Acacia_acoma,Yes
Acacia_acradenia,Yes
Acacia_acrionastes,Yes
Acacia_acuaria,Yes
Acacia_aculeatissima,Yes
Acacia_acuminata,Yes
Acacia_adenocalyx,Yes
Acacia_adoxa,Yes
Acacia_adsurgens,Yes
Acacia_adunca,Yes
Acacia_aestivalis,Yes
Acacia_albicorticata,Yes
Acacia_allenii,Yes
Acacia_alpina,Yes
Acacia_ampliceps,Yes
Acacia_amythethophylla,Yes
Acacia_anaticeps,Yes
Acacia_ancistrocarpa,Yes
Acacia_ancistrophylla,Yes
Acacia_andrewsii,Yes
Acacia_aneura,Yes
Acacia_angustissima,Yes
Acacia_anisophylla,Yes
Acacia_aphylla,Yes
Acacia_aprica,Yes
Acacia_araneosa,Yes
Acacia_argyraea,Yes
Acacia_argyrophylla,Yes
Acacia_asak,Yes
Acacia_ascendens,Yes
Acacia_ashbyae,Yes
Acacia_asparagoides,Yes
Acacia_asperulacea,Yes
Acacia_assimilis,Yes
Acacia_ataxacantha,Yes
Acacia_attenuata,Yes
Acacia_aulacocarpa,Yes
Acacia_aulacophylla,Yes
Acacia_auratiflora,Yes
Acacia_auriculiformis,Yes
Acacia_ausfeldii,Yes
Acacia_baileyana,Yes
Acacia_baueri,Yes
Acacia_baxteri,Yes
Acacia_beauverdiana,Yes
Acacia_beckleri,Yes
Acacia_bellula,Yes
Acacia_berlandieri,Yes
Acacia_betchei,Yes
Acacia_biaciculata,Yes
Acacia_bidentata,Yes
Acacia_biflora,Yes
Acacia_bilimekii,Yes
Acacia_binervata,Yes
Acacia_binervia,Yes
Acacia_bivenosa,Yes
Acacia_blakelyi,Yes
Acacia_boliviana,Yes
Acacia_bonariensis,Yes
Acacia_boormanii,Yes
Acacia_brachybotrya,Yes
Acacia_brachystachya,Yes
Acacia_brandegeana,Yes
Acacia_brassii,Yes
Acacia_brevispica,Yes
