species,nodulation,distribution,clade
Aubrevillea kerstingii,No,Western Africa,Entada clade
Calpocalyx aubrevillei,No,Western Africa,Xylia clade
Calpocalyx brevibracteatus,No,Western Africa,Xylia clade
Calpocalyx cauliflorus,No,Western Africa,Xylia clade
Calpocalyx dinklagei,No,Western Africa,Xylia clade
Newtonia buchananii,No,Sub-Saharan Africa,Isolated between Entada and Dichrostachys clades
Newtonia hildebrandtii,No,Eastern Africa,Isolated between Entada and Dichrostachys clades
Newtonia leucocarpa,No,Western Africa,Isolated between Entada and Dichrostachys clades
Parkia cachimboensis,No,Amazonia,Parkia clade
Parkia discolor,No,Amazonia,Parkia clade
Parkia filicoidea,No,Sub-Saharan Africa,Parkia clade
Parkia nitida,No,Amazonia,Parkia clade
Parkia panurensis,No,Amazonia,Parkia clade
Parkia pendula,No,Amazonia and Northeast Brazil,Parkia clade
Parkia platycephala,No,Northeast Brazil,Parkia clade
Parkia reticulata,No,Northern South America,Parkia clade
Parkia ulei,No,Amazonia,Parkia clade
Parkia velutina,No,Amazonia,Parkia clade
Tetrapleura chevalieri,No,Western Africa,Xylia clade
Tetrapleura tetraptera,No,Sub-Saharan Africa,Xylia clade
Zapoteca alinae,No,Mexico,Zapoteca clade
Zapoteca lambertiana,No,Mexico,Zapoteca clade
Zapoteca media,No,Mexico,Zapoteca clade
Zapoteca portoricensis,No,Pan-tropical (weed?),Zapoteca clade
Zapoteca ravenii,No,Mexico,Zapoteca clade
Zapoteca tetragona,No,Central America,Zapoteca clade
